sample	event	chrom	start	type	error_group	rep	depth	purity
visorR3	-	3R	12489000	deletion	fn	1	shallow	80
visorR3	-	2L	7160000	deletion	fn	1	shallow	80
visorR3	-	X	8312000	tandem duplication	fn	1	shallow	80
visorR3	-	3R	6150000	tandem duplication	fn	1	shallow	80
visorR3	14	2L	10463000	inversion	tp	1	shallow	80
visorR3	5	2L	6655000	inversion	tp	1	shallow	80
visorR3	104	X	11484917	inversion	fp	1	shallow	80
visorR3	-	X	5550000	deletion	fn	1	shallow	80
visorR3	-	3L	8312000	tandem duplication	fn	1	shallow	80
visorR3	86	4	890000	tandem duplication	tp	1	shallow	80
visorR3	54	3L	11987000	tandem duplication	tp	1	shallow	80
visorR3	-	2L	8887000	deletion	fn	1	shallow	80
visorR3	100	X	9437000	inversion	tp	1	shallow	80
visorR3	-	2R	11987000	tandem duplication	fn	1	shallow	80
visorR3	-	3R	5550000	deletion	fn	1	shallow	80
visorR3	-	4	270000	deletion	fn	1	shallow	80
visorR3	80	4	632000	tandem duplication	tp	1	shallow	80
visorR3	48	3L	9437000	inversion	tp	1	shallow	80
visorR3	1	2L	5000000	deletion	tp	1	shallow	80
visorR3	-	2R	7810000	deletion	fn	1	shallow	80
visorR3	34	2R	10970000	tandem duplication	tp	1	shallow	80
visorR3	-	X	7810000	deletion	fn	1	shallow	80
visorR3	102	X	10463000	inversion	tp	1	shallow	80
visorR3	67	3R	9938000	deletion	tp	1	shallow	80
visorR3	-	3R	8312000	tandem duplication	fn	1	shallow	80
visorR3	7	2L	7810000	deletion	tp	1	shallow	80
visorR3	18	2L	11987000	tandem duplication	tp	1	shallow	80
visorR3	38	3L	5550000	deletion	tp	1	shallow	80
visorR3	43	3L	7810000	deletion	tp	1	shallow	80
visorR3	-	X	6150000	tandem duplication	fn	1	shallow	80
visorR3	101	X	9938000	deletion	tp	1	shallow	80
visorR3	-	3L	7160000	deletion	fn	1	shallow	80
visorR3	-	2R	5000000	deletion	fn	1	shallow	80
visorR3	17	2L	11485000	inversion	tp	1	shallow	80
visorR3	71	3R	11485000	inversion	tp	1	shallow	80
visorR3	3	2L	5550000	deletion	tp	1	shallow	80
visorR3	76	4	390000	tandem duplication	tp	1	shallow	80
visorR3	-	2R	8312000	tandem duplication	fn	1	shallow	80
visorR3	90	X	5000000	deletion	tp	1	shallow	80
visorR3	-	X	7160000	deletion	fn	1	shallow	80
visorR3	99	X	8887000	deletion	tp	1	shallow	80
visorR3	81	4	727000	deletion	tp	1	shallow	80
visorR3	-	3R	8887000	deletion	fn	1	shallow	80
visorR3	-	2L	6150000	tandem duplication	fn	1	shallow	80
visorR3	89	4	947000	tandem duplication	tp	1	shallow	80
visorR3	-	2L	8312000	tandem duplication	fn	1	shallow	80
visorR3	-	3L	10463000	inversion	fn	1	shallow	80
visorR3	72	3R	11987000	tandem duplication	tp	1	shallow	80
visorR3	73	4	200000	deletion	tp	1	shallow	80
visorR3	-	3L	10970000	tandem duplication	fn	1	shallow	80
visorR3	69	3R	10463000	inversion	tp	1	shallow	80
visorR3	85	4	863000	inversion	tp	1	shallow	80
visorR3	-	3R	10970000	tandem duplication	fn	1	shallow	80
visorR3	-	X	11485000	inversion	fn	1	shallow	80
visorR3	-	2L	9938000	deletion	fn	1	shallow	80
visorR3	88	4	925000	inversion	tp	1	shallow	80
visorR3	-	2R	8887000	deletion	fn	1	shallow	80
visorR3	-	3L	6655000	inversion	fn	1	shallow	80
visorR3	37	3L	5000000	deletion	tp	1	shallow	80
visorR3	66	3R	9436987	inversion	fp	1	shallow	80
visorR3	59	3R	6655000	inversion	tp	1	shallow	80
visorR3	55	3L	12489000	deletion	tp	1	shallow	80
visorR3	62	3R	7810000	deletion	tp	1	shallow	80
visorR3	-	X	11987000	tandem duplication	fn	1	shallow	80
visorR3	-	4	797000	inversion	fn	1	shallow	80
visorR3	24	2R	6655000	inversion	tp	1	shallow	80
visorR5	-	2R	9938000	deletion	fn	1	shallow	60
visorR5	-	3L	8887000	deletion	fn	1	shallow	60
visorR5	-	2L	12489000	deletion	fn	1	shallow	60
visorR5	-	2R	7160000	deletion	fn	1	shallow	60
visorR5	-	2L	9437000	inversion	fn	1	shallow	60
visorR5	-	2R	5550000	deletion	fn	1	shallow	60
visorR5	53	3R	5023144	deletion	fp	1	shallow	60
visorR5	-	3L	5550000	deletion	fn	1	shallow	60
visorR5	-	2R	12489000	deletion	fn	1	shallow	60
visorR5	85	X	6655000	inversion	tp	1	shallow	60
visorR5	-	2R	6150000	tandem duplication	fn	1	shallow	60
visorR5	-	3R	5000000	deletion	fn	1	shallow	60
visorR5	51	3L	11485000	inversion	tp	1	shallow	60
visorR5	75	4	610000	deletion	tp	1	shallow	60
visorR5	-	4	415000	inversion	fn	1	shallow	60
visorR5	-	X	10970000	tandem duplication	fn	1	shallow	60
visorR5	-	2L	10970000	tandem duplication	fn	1	shallow	60
visorR5	36	2R	11485000	inversion	tp	1	shallow	60
visorR5	-	4	440000	deletion	fn	1	shallow	60
visorR5	-	2R	10463000	inversion	fn	1	shallow	60
visorR5	63	3R	9437000	inversion	tp	1	shallow	60
visorR5	-	3L	6150000	tandem duplication	fn	1	shallow	60
visorR5	-	3R	7160000	deletion	fn	1	shallow	60
visorR5	-	3L	9938000	deletion	fn	1	shallow	60
visorR5	-	X	12489000	deletion	fn	1	shallow	60
visorR5	-	2R	9437000	inversion	fn	1	shallow	60
visorR5	-	4	818000	deletion	fn	1	shallow	60
visorR5	-	3R	12489000	deletion	fn	1	shallow	60
visorR5	8	2L	7160000	deletion	tp	1	shallow	60
visorR5	-	X	8312000	tandem duplication	fn	1	shallow	60
visorR5	56	3R	6150000	tandem duplication	tp	1	shallow	60
visorR5	16	2L	10463000	inversion	tp	1	shallow	60
visorR5	7	2L	6655000	inversion	tp	1	shallow	60
visorR5	-	X	5550000	deletion	fn	1	shallow	60
visorR5	-	3L	8312000	tandem duplication	fn	1	shallow	60
visorR5	80	4	890000	tandem duplication	tp	1	shallow	60
visorR5	-	3L	11987000	tandem duplication	fn	1	shallow	60
visorR5	-	2L	8887000	deletion	fn	1	shallow	60
visorR5	93	X	9437000	inversion	tp	1	shallow	60
visorR5	-	2R	11987000	tandem duplication	fn	1	shallow	60
visorR5	-	3R	5550000	deletion	fn	1	shallow	60
visorR5	71	4	270000	deletion	tp	1	shallow	60
visorR5	76	4	632000	tandem duplication	tp	1	shallow	60
visorR5	47	3L	9437000	inversion	tp	1	shallow	60
visorR5	2	2L	5000000	deletion	tp	1	shallow	60
visorR5	-	2R	7810000	deletion	fn	1	shallow	60
visorR5	-	2R	10970000	tandem duplication	fn	1	shallow	60
visorR5	-	X	7810000	deletion	fn	1	shallow	60
visorR5	-	4	947000	tandem duplication	fn	1	shallow	60
visorR5	-	3R	9938000	deletion	fn	1	shallow	60
visorR5	-	3R	8312000	tandem duplication	fn	1	shallow	60
visorR5	-	2L	7810000	deletion	fn	1	shallow	60
visorR5	21	2L	11987000	tandem duplication	tp	1	shallow	60
visorR5	-	4	969000	deletion	fn	1	shallow	60
visorR5	-	3L	7810000	deletion	fn	1	shallow	60
visorR5	-	X	6150000	tandem duplication	fn	1	shallow	60
visorR5	-	X	9938000	deletion	fn	1	shallow	60
visorR5	-	3L	7160000	deletion	fn	1	shallow	60
visorR5	-	2R	5000000	deletion	fn	1	shallow	60
visorR5	20	2L	11485000	inversion	tp	1	shallow	60
visorR5	96	X	11485000	inversion	tp	1	shallow	60
visorR5	-	2L	5550000	deletion	fn	1	shallow	60
visorR5	73	4	390000	tandem duplication	tp	1	shallow	60
visorR5	-	2R	8312000	tandem duplication	fn	1	shallow	60
visorR5	-	X	5000000	deletion	fn	1	shallow	60
visorR5	-	X	7160000	deletion	fn	1	shallow	60
visorR5	92	X	8887000	deletion	tp	1	shallow	60
visorR5	-	4	727000	deletion	fn	1	shallow	60
visorR5	-	3R	8887000	deletion	fn	1	shallow	60
visorR5	6	2L	6150000	tandem duplication	tp	1	shallow	60
visorR5	95	X	10463000	inversion	tp	1	shallow	60
visorR5	-	2L	8312000	tandem duplication	fn	1	shallow	60
visorR5	-	3L	10463000	inversion	fn	1	shallow	60
visorR5	-	3R	11987000	tandem duplication	fn	1	shallow	60
visorR5	70	4	200000	deletion	tp	1	shallow	60
visorR5	-	3L	10970000	tandem duplication	fn	1	shallow	60
visorR5	66	3R	10463000	inversion	tp	1	shallow	60
visorR5	79	4	863000	inversion	tp	1	shallow	60
visorR5	67	3R	10970000	tandem duplication	tp	1	shallow	60
visorR5	69	3R	11485000	inversion	tp	1	shallow	60
visorR5	14	2L	9938000	deletion	tp	1	shallow	60
visorR5	81	4	925000	inversion	tp	1	shallow	60
visorR5	-	2R	8887000	deletion	fn	1	shallow	60
visorR5	40	3L	6655000	inversion	tp	1	shallow	60
visorR5	38	3L	5000000	deletion	tp	1	shallow	60
visorR5	57	3R	6655000	inversion	tp	1	shallow	60
visorR5	-	3L	12489000	deletion	fn	1	shallow	60
visorR5	-	3R	7810000	deletion	fn	1	shallow	60
visorR5	-	X	11987000	tandem duplication	fn	1	shallow	60
visorR5	-	4	797000	inversion	fn	1	shallow	60
visorR5	25	2R	6655000	inversion	tp	1	shallow	60
visorR7	-	2R	9938000	deletion	fn	1	shallow	40
visorR7	-	3L	8887000	deletion	fn	1	shallow	40
visorR7	-	2L	12489000	deletion	fn	1	shallow	40
visorR7	-	2R	7160000	deletion	fn	1	shallow	40
visorR7	9	2L	9437000	inversion	tp	1	shallow	40
visorR7	-	2R	5550000	deletion	fn	1	shallow	40
visorR7	-	3L	5550000	deletion	fn	1	shallow	40
visorR7	-	2R	12489000	deletion	fn	1	shallow	40
visorR7	-	X	6655000	inversion	fn	1	shallow	40
visorR7	17	2R	6150000	tandem duplication	tp	1	shallow	40
visorR7	-	3R	5000000	deletion	fn	1	shallow	40
visorR7	38	3L	11485000	inversion	tp	1	shallow	40
visorR7	-	4	610000	deletion	fn	1	shallow	40
visorR7	-	4	415000	inversion	fn	1	shallow	40
visorR7	-	X	10970000	tandem duplication	fn	1	shallow	40
visorR7	-	2L	10970000	tandem duplication	fn	1	shallow	40
visorR7	25	2R	11485000	inversion	tp	1	shallow	40
visorR7	-	4	440000	deletion	fn	1	shallow	40
visorR7	-	2R	10463000	inversion	fn	1	shallow	40
visorR7	46	3R	9437000	inversion	tp	1	shallow	40
visorR7	-	3L	6150000	tandem duplication	fn	1	shallow	40
visorR7	-	2R	8887000	deletion	fn	1	shallow	40
visorR7	-	3L	9938000	deletion	fn	1	shallow	40
visorR7	-	X	12489000	deletion	fn	1	shallow	40
visorR7	-	2R	9437000	inversion	fn	1	shallow	40
visorR7	53	4	818000	deletion	tp	1	shallow	40
visorR7	-	3R	12489000	deletion	fn	1	shallow	40
visorR7	-	2L	7160000	deletion	fn	1	shallow	40
visorR7	-	X	8312000	tandem duplication	fn	1	shallow	40
visorR7	-	3R	6150000	tandem duplication	fn	1	shallow	40
visorR7	-	2L	10463000	inversion	fn	1	shallow	40
visorR7	4	2L	6655000	inversion	tp	1	shallow	40
visorR7	-	X	5550000	deletion	fn	1	shallow	40
visorR7	-	3L	8312000	tandem duplication	fn	1	shallow	40
visorR7	-	4	890000	tandem duplication	fn	1	shallow	40
visorR7	-	3L	11987000	tandem duplication	fn	1	shallow	40
visorR7	-	2L	8887000	deletion	fn	1	shallow	40
visorR7	-	X	9437000	inversion	fn	1	shallow	40
visorR7	26	2R	11987000	tandem duplication	tp	1	shallow	40
visorR7	-	3R	5550000	deletion	fn	1	shallow	40
visorR7	-	4	270000	deletion	fn	1	shallow	40
visorR7	52	4	632000	tandem duplication	tp	1	shallow	40
visorR7	-	3L	9437000	inversion	fn	1	shallow	40
visorR7	-	2L	5000000	deletion	fn	1	shallow	40
visorR7	20	2R	7810000	deletion	tp	1	shallow	40
visorR7	-	2R	10970000	tandem duplication	fn	1	shallow	40
visorR7	-	X	7810000	deletion	fn	1	shallow	40
visorR7	-	X	10463000	inversion	fn	1	shallow	40
visorR7	-	3R	9938000	deletion	fn	1	shallow	40
visorR7	-	3R	8312000	tandem duplication	fn	1	shallow	40
visorR7	-	2L	7810000	deletion	fn	1	shallow	40
visorR7	-	2L	11987000	tandem duplication	fn	1	shallow	40
visorR7	-	4	969000	deletion	fn	1	shallow	40
visorR7	31	3L	7810000	deletion	tp	1	shallow	40
visorR7	-	X	6150000	tandem duplication	fn	1	shallow	40
visorR7	-	X	9938000	deletion	fn	1	shallow	40
visorR7	-	3L	7160000	deletion	fn	1	shallow	40
visorR7	-	2R	5000000	deletion	fn	1	shallow	40
visorR7	14	2L	11485000	inversion	tp	1	shallow	40
visorR7	-	3R	11485000	inversion	fn	1	shallow	40
visorR7	-	2L	5550000	deletion	fn	1	shallow	40
visorR7	-	4	390000	tandem duplication	fn	1	shallow	40
visorR7	-	2R	8312000	tandem duplication	fn	1	shallow	40
visorR7	-	X	5000000	deletion	fn	1	shallow	40
visorR7	-	X	7160000	deletion	fn	1	shallow	40
visorR7	-	X	8887000	deletion	fn	1	shallow	40
visorR7	-	4	727000	deletion	fn	1	shallow	40
visorR7	-	3R	8887000	deletion	fn	1	shallow	40
visorR7	-	2L	6150000	tandem duplication	fn	1	shallow	40
visorR7	-	4	947000	tandem duplication	fn	1	shallow	40
visorR7	-	2L	8312000	tandem duplication	fn	1	shallow	40
visorR7	-	3L	10463000	inversion	fn	1	shallow	40
visorR7	-	3R	11987000	tandem duplication	fn	1	shallow	40
visorR7	50	4	200000	deletion	tp	1	shallow	40
visorR7	36	3L	10970000	tandem duplication	tp	1	shallow	40
visorR7	47	3R	10463000	inversion	tp	1	shallow	40
visorR7	-	4	863000	inversion	fn	1	shallow	40
visorR7	-	3R	10970000	tandem duplication	fn	1	shallow	40
visorR7	56	X	11485000	inversion	tp	1	shallow	40
visorR7	-	2L	9938000	deletion	fn	1	shallow	40
visorR7	54	4	925000	inversion	tp	1	shallow	40
visorR7	-	3R	7160000	deletion	fn	1	shallow	40
visorR7	-	3L	6655000	inversion	fn	1	shallow	40
visorR7	-	3L	5000000	deletion	fn	1	shallow	40
visorR7	42	3R	6655000	inversion	tp	1	shallow	40
visorR7	-	3L	12489000	deletion	fn	1	shallow	40
visorR7	-	3R	7810000	deletion	fn	1	shallow	40
visorR7	-	X	11987000	tandem duplication	fn	1	shallow	40
visorR7	-	4	797000	inversion	fn	1	shallow	40
visorR7	-	2R	6655000	inversion	fn	1	shallow	40
visorR9	-	2R	9938000	deletion	fn	1	shallow	20
visorR9	-	3L	8887000	deletion	fn	1	shallow	20
visorR9	-	2L	12489000	deletion	fn	1	shallow	20
visorR9	-	2L	6655000	inversion	fn	1	shallow	20
visorR9	-	2R	7160000	deletion	fn	1	shallow	20
visorR9	-	2L	9437000	inversion	fn	1	shallow	20
visorR9	-	2R	5550000	deletion	fn	1	shallow	20
visorR9	-	3L	5550000	deletion	fn	1	shallow	20
visorR9	-	2R	12489000	deletion	fn	1	shallow	20
visorR9	-	X	6655000	inversion	fn	1	shallow	20
visorR9	-	2R	6150000	tandem duplication	fn	1	shallow	20
visorR9	-	3L	11485000	inversion	fn	1	shallow	20
visorR9	-	4	610000	deletion	fn	1	shallow	20
visorR9	-	4	415000	inversion	fn	1	shallow	20
visorR9	-	X	10970000	tandem duplication	fn	1	shallow	20
visorR9	-	2L	10970000	tandem duplication	fn	1	shallow	20
visorR9	-	2R	11485000	inversion	fn	1	shallow	20
visorR9	-	4	440000	deletion	fn	1	shallow	20
visorR9	-	2R	10463000	inversion	fn	1	shallow	20
visorR9	-	3R	9437000	inversion	fn	1	shallow	20
visorR9	-	3L	6150000	tandem duplication	fn	1	shallow	20
visorR9	-	3R	7160000	deletion	fn	1	shallow	20
visorR9	-	3L	9938000	deletion	fn	1	shallow	20
visorR9	-	X	12489000	deletion	fn	1	shallow	20
visorR9	-	2R	9437000	inversion	fn	1	shallow	20
visorR9	-	4	818000	deletion	fn	1	shallow	20
visorR9	-	4	969000	deletion	fn	1	shallow	20
visorR9	-	3R	12489000	deletion	fn	1	shallow	20
visorR9	-	2L	7160000	deletion	fn	1	shallow	20
visorR9	-	X	8312000	tandem duplication	fn	1	shallow	20
visorR9	-	3R	6150000	tandem duplication	fn	1	shallow	20
visorR9	-	2L	10463000	inversion	fn	1	shallow	20
visorR9	-	3R	5000000	deletion	fn	1	shallow	20
visorR9	-	X	5550000	deletion	fn	1	shallow	20
visorR9	-	3L	8312000	tandem duplication	fn	1	shallow	20
visorR9	-	4	890000	tandem duplication	fn	1	shallow	20
visorR9	-	3L	11987000	tandem duplication	fn	1	shallow	20
visorR9	-	2L	8887000	deletion	fn	1	shallow	20
visorR9	-	X	9437000	inversion	fn	1	shallow	20
visorR9	-	2R	11987000	tandem duplication	fn	1	shallow	20
visorR9	-	4	270000	deletion	fn	1	shallow	20
visorR9	-	4	632000	tandem duplication	fn	1	shallow	20
visorR9	-	3L	9437000	inversion	fn	1	shallow	20
visorR9	-	2L	5000000	deletion	fn	1	shallow	20
visorR9	-	2R	7810000	deletion	fn	1	shallow	20
visorR9	-	2R	10970000	tandem duplication	fn	1	shallow	20
visorR9	-	X	7810000	deletion	fn	1	shallow	20
visorR9	-	X	10463000	inversion	fn	1	shallow	20
visorR9	-	3R	9938000	deletion	fn	1	shallow	20
visorR9	-	3R	8312000	tandem duplication	fn	1	shallow	20
visorR9	-	2L	7810000	deletion	fn	1	shallow	20
visorR9	-	2L	11987000	tandem duplication	fn	1	shallow	20
visorR9	-	3R	5550000	deletion	fn	1	shallow	20
visorR9	-	3L	7810000	deletion	fn	1	shallow	20
visorR9	-	X	6150000	tandem duplication	fn	1	shallow	20
visorR9	-	X	9938000	deletion	fn	1	shallow	20
visorR9	-	3L	7160000	deletion	fn	1	shallow	20
visorR9	-	2R	5000000	deletion	fn	1	shallow	20
visorR9	-	2L	11485000	inversion	fn	1	shallow	20
visorR9	-	3R	11485000	inversion	fn	1	shallow	20
visorR9	-	2L	5550000	deletion	fn	1	shallow	20
visorR9	-	4	390000	tandem duplication	fn	1	shallow	20
visorR9	-	2R	8312000	tandem duplication	fn	1	shallow	20
visorR9	-	X	5000000	deletion	fn	1	shallow	20
visorR9	-	X	7160000	deletion	fn	1	shallow	20
visorR9	-	X	8887000	deletion	fn	1	shallow	20
visorR9	11	4	727000	deletion	tp	1	shallow	20
visorR9	-	3R	8887000	deletion	fn	1	shallow	20
visorR9	-	2L	6150000	tandem duplication	fn	1	shallow	20
visorR9	-	4	947000	tandem duplication	fn	1	shallow	20
visorR9	-	2L	8312000	tandem duplication	fn	1	shallow	20
visorR9	-	3L	10463000	inversion	fn	1	shallow	20
visorR9	-	3R	11987000	tandem duplication	fn	1	shallow	20
visorR9	-	4	200000	deletion	fn	1	shallow	20
visorR9	-	3L	10970000	tandem duplication	fn	1	shallow	20
visorR9	-	3R	10463000	inversion	fn	1	shallow	20
visorR9	-	4	863000	inversion	fn	1	shallow	20
visorR9	-	3R	10970000	tandem duplication	fn	1	shallow	20
visorR9	-	X	11485000	inversion	fn	1	shallow	20
visorR9	-	2L	9938000	deletion	fn	1	shallow	20
visorR9	-	4	925000	inversion	fn	1	shallow	20
visorR9	-	2R	8887000	deletion	fn	1	shallow	20
visorR9	5	3L	6655000	inversion	tp	1	shallow	20
visorR9	-	3L	5000000	deletion	fn	1	shallow	20
visorR9	-	3R	6655000	inversion	fn	1	shallow	20
visorR9	-	3L	12489000	deletion	fn	1	shallow	20
visorR9	-	3R	7810000	deletion	fn	1	shallow	20
visorR9	-	X	11987000	tandem duplication	fn	1	shallow	20
visorR9	-	4	797000	inversion	fn	1	shallow	20
visorR9	-	2R	6655000	inversion	fn	1	shallow	20
visorR11	36	2R	9938000	deletion	tp	1	deep	100
visorR11	53	3L	8887000	deletion	tp	1	deep	100
visorR11	20	2L	12489000	deletion	tp	1	deep	100
visorR11	4	2L	6655000	inversion	tp	1	deep	100
visorR11	29	2R	7160000	deletion	tp	1	deep	100
visorR11	12	2L	9437000	inversion	tp	1	deep	100
visorR11	23	2R	5550000	deletion	tp	1	deep	100
visorR11	45	3L	5550000	deletion	tp	1	deep	100
visorR11	-	2R	12489000	deletion	fn	1	deep	100
visorR11	105	X	6655000	inversion	tp	1	deep	100
visorR11	25	2R	6150000	tandem duplication	tp	1	deep	100
visorR11	59	3L	11485000	inversion	tp	1	deep	100
visorR11	89	4	610000	deletion	tp	1	deep	100
visorR11	-	4	415000	inversion	fn	1	deep	100
visorR11	116	X	10970000	tandem duplication	tp	1	deep	100
visorR11	17	2L	10970000	tandem duplication	tp	1	deep	100
visorR11	41	2R	11485000	inversion	tp	1	deep	100
visorR11	87	4	440000	deletion	tp	1	deep	100
